"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","FOXLABBSI","Fox Lab BSI measures","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","","","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","VISCODE","FOXLABBSI","Fox Lab BSI measures","-4","Visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","VISCODE2","FOXLABBSI","Fox Lab BSI measures","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","","","Months from baseline rounded to nearest 6 months","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","EXAMDATE","FOXLABBSI","Fox Lab BSI measures","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","VERSION","FOXLABBSI","Fox Lab BSI measures","-4","Version date of results","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","RUNDATE","FOXLABBSI","Fox Lab BSI measures","-4","Analysis run date","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","STATUS","FOXLABBSI","Fox Lab BSI measures","-4","Analysis completeness","-4","-4","-4","-4","-4","-4","-4","-4","","0=Partial; 1=Complete","Partial means that some measures are missing, but should be expected in a later version of results","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","LONIUID","FOXLABBSI","Fox Lab BSI measures","-4","UID of fully pre-processed scan for which results are provided","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","LONIUID_BASE","FOXLABBSI","Fox Lab BSI measures","-4","UID of fully pre-processed baseline scan for longitudinal results","-4","-4","-4","-4","-4","-4","-4","-4","","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","BRAINVOL","FOXLABBSI","Fox Lab BSI measures","-4","Whole brain volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","VENTVOL","FOXLABBSI","Fox Lab BSI measures","-4","Ventricular volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
"","HIPPOVOL_R","FOXLABBSI","Fox Lab BSI measures","-4","Right side hippocampal volume","-4","-4","-4","-4","-4","-4","-4","-4","ml","","Only populated for ADNI GO/2","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2014-06-24 11:47:34.0"
