"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","SCANDATE","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Examination Date","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(10)","-4","MM/DD/YYYY format","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","LONI_STUDY","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","LONI_SERIES","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","LONI_IMG_ID","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","SERIES_NUM","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","NORM_TYPE","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","CHOSEN","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","STUDY_QUALITY","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","SERIES_QUALITY","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","UNIQUEID","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Unique ID of MCH","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(v)","-4","ID of MCH finding as determined by Analyist","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","TYPE","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Type of finding","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(5)","-4","Type of finding","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","STATUS","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Status","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(8)","-4","Status of data run.  Complete/Partial ","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","FINDCOMMENTS","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","ATLASREGIONS","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","Atlas Regions","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(200)","-4","Atlas Region of Finding","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","RASLOCATIONS","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","RAS Location","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(300)","-4","RAS Location of Finding","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","NOFINDINGS","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","No Findings","-4","-4","-4","-4","-4","-4","-4","-4","CHAR(1)","-4","(0) findings marked, (1) no findings","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","SCAN_COMMENT","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","EVALDATE","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
"","SERIES_UID","MAYOADIRL_MRI_MCH","Jack Lab - ADNI MRI MCH","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2017-11-14 10:10:14.0"
