"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Participant roster ID","-4","-4","T","10","","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","VISCODE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Visit code","-4","-4","T","3","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","VISCODE2","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Translated visit code","-4","-4","T","3","","-4","-4","-4","","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","EXAMDATE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Examination Date","-4","-4","D","7","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK1","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 1","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK1_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 1 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK2","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 2","-4","-4","N","","4","-4","-4","-4","av1451 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK2_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 2 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK3","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 3","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK3_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 3 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK4","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 4","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK4_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 4 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK5","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 5","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK5_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 5 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK6","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 6","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAAK6_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Braak region 6 ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CEREBGM","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Cerebellar grey matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CEREBGM_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Cerebellar grey matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CEREBWM","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Cerebellar white matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CEREBWM_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Cerebellar white matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAIN_STEM","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Brain stem ","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BRAIN_STEM_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Brain stem ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","HEMIWM","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Hemispheric white matter","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","HEMIWM_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Hemispheric white matter ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BONE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Bone","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","BONE_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Bone ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CSF_SA","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","CSF ","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","CSF_SA_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","CSF ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","SOFT_TISSUE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Soft tissue","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","SOFT_TISSUE_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Soft tissue ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_MIDDLEFR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left middle frontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_MIDDLEFR_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left middle frontal ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_ORBITOFR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left orbitofrontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_ORBITOFR_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left orbitofrontal ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_PARSFR","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left pars frontal ROI","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_PARSFR_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","Left pars frontal ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_ACCUMBENS_AREA","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-accumbens-area","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_ACCUMBENS_AREA_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-accumbens-area ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_AMYGDALA","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-amygdala","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_AMYGDALA_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-amygdala ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_CAUDATE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-caudate","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_CAUDATE_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-caudate ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_HIPPOCAMPUS","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-hippocampus","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_HIPPOCAMPUS_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-hippocampus ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_PALLIDUM","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-pallidum","-4","-4","N","","4","-4","-4","-4","av1451 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
"","LEFT_PALLIDUM_SIZE","UCBERKELEYAV1451_PVC","UC Berkeley - AV1451 analysis","-4","left-pallidum ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-10-19 16:42:11.0"
