"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Participant roster ID","-4","-4","T","10","","-4","-4","-4","","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VISCODE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Visit code","-4","-4","T","3","","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VISCODE2","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Translated visit code","-4","-4","T","3","","-4","-4","-4","","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","EXAMDATE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Date of AV45 scan","-4","-4","D","7","","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","CEREBELLUMGREYMATTER","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Reference region - florbetapir mean of cerebellar grey matter.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","WHOLECEREBELLUM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Reference region - florbetapir mean of whole cerebellum.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","ERODED_SUBCORTICALWM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Reference region - florbetapir mean of eroded subcortical white matter.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","COMPOSITE_REF","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Reference region - florbetapir mean of composite ref region (avg of whole cerebellum, pons/brainstem, eroded WM).  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","FRONTAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Weighted florbetapir mean in frontal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","CINGULATE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Weighted florbetapir mean in anterior/posterior cingulate regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","PARIETAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Weighted florbetapir mean in lateral parietal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","TEMPORAL","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Weighted florbetapir mean in lateral temporal regions.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake in cortical grey matter","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","SUMMARYSUVR_WHOLECEREBNORM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Summary florbetapir cortical SUVR normalized by whole cerebellum.  See Jagust lab PDF on LONI for details and cutoff info","-4","-4","N","","4","-4","-4","-4","av45 ratio (cortical grey matter/whole cerebellum)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","SUMMARYSUVR_WHOLECEREBNORM_1.11CUTOFF","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Amyloid positivity determined by applying a cutoff value of 1.11 to the summary florbetapir cortical SUVR normalized by whole cerebellum","-4","-4","N","","0","-4","-4","-4","binary","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","SUMMARYSUVR_COMPOSITE_REFNORM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Summary florbetapir cortical SUVR normalized by composite ref region.  See Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 ratio (cortical grey matter/composite ref region)","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","SUMMARYSUVR_COMPOSITE_REFNORM_0.79CUTOFF","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Amyloid positivity determined by applying a cutoff value of 0.79 to the summary florbetapir cortical SUVR normalized by composite ref region","-4","-4","N","","0","-4","-4","-4","binary","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","BRAINSTEM","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","Reference region - florbetapir mean of brainstem.  Regions defined by Freesurfer; see Jagust lab PDF on LONI for details","-4","-4","N","","4","-4","-4","-4","av45 uptake - reference region","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","BRAINSTEM_SIZE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","brain-stem ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_3RD","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","3rd-ventricle","-4","-4","N","","4","-4","-4","-4","av45 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_3RD_SIZE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","3rd-ventricle ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_4TH","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","4th-ventricle","-4","-4","N","","4","-4","-4","-4","av45 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_4TH_SIZE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","4th-ventricle ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_5TH","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","5th-ventricle","-4","-4","N","","4","-4","-4","-4","av45 uptake - subregion","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
"","VENTRICLE_5TH_SIZE","UCBERKELEYAV45","UC Berkeley - AV45 analysis","-4","5th-ventricle ROI size in mm^3","-4","-4","N","","0","-4","-4","-4","mm^3","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-06-21 10:47:24.0"
